model,BBBP,BBBP_SD,ESOL,ESOL_SD,FreeSolv,FreeSolv_SD
MAT,0.737,0.009,0.278,0.020,0.265,0.042
ST,0.717,0.008,0.356,0.017,0.393,0.032
