Model,BBBP,BBBP_SE,Tox21,Tox21_SE,SIDER,SIDER_SE,ClinTox,ClinTox_SE
Mol-BERT,0.875,0.048,0.839,0.075,0.695,0.071,0.923,0.025
SMILES-BERT,0.814,0.093,0.732,0.025,0.601,0.010,0.872,0.017
